DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"117495",117495,Mk10,DS,1,0,0,,,07:41:16 26-Jun-2012,A,,,,,,,,,,
"117495",117495,Mk10,DS,1,0,0,,,11:48:31 26-Jun-2012,P,,,,,,,,,,
"117495",117495,Mk10,DS,1,0,0,,,13:20:55 26-Jun-2012,N,,,,,,,,,,
"117495",117495,Mk10,DS,2,0,0,190,190,13:33:58 26-Jun-2012,P,,,,,,,,,,
"117495",117495,Mk10,DS,1,0,0,,,15:03:42 26-Jun-2012,N,,,,,,,,,,
"117495",117495,Mk10,DS,1,0,0,,,16:04:16 26-Jun-2012,K,,,,,,,,,,
"117495",117495,Mk10,DS,1,0,0,,,17:02:01 26-Jun-2012,M,,,,,,,,,,
"117495",117495,Mk10,DS,1,0,0,,,18:39:50 26-Jun-2012,M,,,,,,,,,,
"117495",117495,Mk10,DS,1,0,0,,,19:14:33 26-Jun-2012,L,,,,,,,,,,
"117495",117495,Mk10,DS,1,0,1,,,00:41:12 27-Jun-2012,N,,,,,,,,,,
"117495",117495,Mk10,DS,1,0,0,,,03:21:09 27-Jun-2012,K,,,,,,,,,,
"117495",117495,Mk10,DS,2,0,1,155,155,04:19:49 27-Jun-2012,M,B,-33.46200180,27.37500000,,,,,401677719,,
"117495",117495,Mk10,DS,2,0,2,255,255,05:59:23 27-Jun-2012,M,B,-33.47499847,27.42000008,,,,,401677716,,
"117495",117495,Mk10,DS,3,0,1,161,157,06:38:16 27-Jun-2012,L,A,-33.45999908,27.41600037,,,,,401677724,,
"117495",117495,Mk10,DS,2,0,2,128,128,07:17:02 27-Jun-2012,A,B,-33.45500183,27.41699982,,,,,401677726,,
"117495",117495,Mk10,DS,1,0,1,,,11:46:32 27-Jun-2012,P,B,-33.44900131,27.42900085,,,,,401677715,,
"117495",117495,Mk10,DS,2,0,0,310,310,13:10:01 27-Jun-2012,N,B,-33.47299957,27.47400093,,,,,401677732,,
"117495",117495,Mk10,DS,1,0,0,,,13:21:54 27-Jun-2012,P,B,-33.47200012,27.47699928,,,,,401677727,,
"117495",117495,Mk10,DS,1,0,1,,,13:57:48 27-Jun-2012,K,B,-33.45800018,27.49399948,,,,,401677739,,
"117495",117495,Mk10,DS,2,0,1,149,149,15:36:10 27-Jun-2012,K,B,-33.44699860,27.49399948,,,,,401677721,,
"117495",117495,Mk10,DS,1,0,0,,,18:13:07 27-Jun-2012,M,B,-33.44499969,27.51600075,,,,,401677721,,
"117495",117495,Mk10,DS,1,0,0,,,19:03:38 27-Jun-2012,L,B,-33.42399979,27.51700020,,,,,401677740,,
"117495",117495,Mk10,DS,1,0,1,,,19:41:04 27-Jun-2012,A,B,-33.38999939,27.52300072,,,,,401677753,,
"117495",117495,Mk10,DS,1,0,0,,,20:45:01 27-Jun-2012,L,B,-33.35400009,27.54599953,,,,,401677722,,
"117495",117495,Mk10,DS,1,0,0,,,23:00:52 27-Jun-2012,P,B,-33.30199814,27.57799911,,,,,401677724,,
"117495",117495,Mk10,DS,1,0,0,,,00:38:16 28-Jun-2012,N,B,-33.28200150,27.58900070,,,,,401677723,,
"117495",117495,Mk10,DS,1,0,1,,,01:16:37 28-Jun-2012,K,B,-33.17100143,27.69300079,,,,,401677716,,
"117495",117495,Mk10,DS,2,0,1,67,67,04:47:25 28-Jun-2012,L,B,-32.99900055,27.94000053,,,,,401677797,,
"117495",117495,Mk10,DS,1,0,1,,,05:36:46 28-Jun-2012,M,B,-32.93799973,28.00099945,,,,,401677812,,
"117495",117495,Mk10,DS,1,0,0,,,06:59:10 28-Jun-2012,A,B,-32.99399948,27.94400024,,,,,401677798,,
