DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"117495",117495,Mk10,00:41:12 27-Jun-2012,,N,,,,CRC 45527.26341,,PDT,155,29,112,191,32,96,172,76,96,204,76,96,236,12,126,32,64,38,67,224,17,32,120,120,0,0,0,,,,,
"117495",117495,Mk10,04:18:32 27-Jun-2012,,M,B,-33.46200180,27.37500000,CRC 61469.14044,00:00:00 22-Jun-2012,PDT,159,1,209,172,0,97,41,202,1,73,202,97,105,202,126,53,140,32,108,23,96,241,32,87,83,39,17,,,,,
"117495",117495,Mk10,05:57:16 27-Jun-2012,,M,B,-33.47499847,27.42000008,CRC 36567.36119,12:00:00 14-Jun-2012,PDT,152,237,113,156,192,129,138,235,65,170,203,65,202,203,1,234,203,30,51,164,32,210,95,226,38,32,103,120,0,0,5,
"117495",117495,Mk10,06:01:31 27-Jun-2012,,M,B,-33.47499847,27.42000008,CRC 32790.16887,00:00:00 14-Jun-2012,PDT,152,1,97,156,0,65,171,75,97,203,107,126,51,140,32,208,4,236,40,104,116,146,128,,,,,,,,,
"117495",117495,Mk10,06:35:34 27-Jun-2012,,L,A,-33.45999908,27.41600037,Too short,,,159,200,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117495",117495,Mk10,07:15:59 27-Jun-2012,,A,B,-33.45500183,27.41699982,CRC 48363.35868,06:00:00 07-Jun-2012,PDT,155,206,177,142,96,97,74,138,225,105,234,225,138,10,94,49,216,32,158,73,105,109,33,54,240,68,0,,,,,
"117495",117495,Mk10,07:18:07 27-Jun-2012,,A,B,-33.45500183,27.41699982,CRC 14480.27714,00:00:00 07-Jun-2012,TAD,19,137,1,142,0,87,3,117,16,41,206,62,36,8,90,130,184,96,56,189,143,115,40,43,191,221,130,7,252,21,224,
"117495",117495,Mk10,11:46:33 27-Jun-2012,,P,B,-33.44900131,27.42900085,CRC 56796.963,12:00:00 10-May-2012,TAD,29,221,193,84,193,120,16,43,187,199,228,136,42,106,151,138,169,8,188,8,21,222,215,82,4,21,53,80,0,0,0,
"117495",117495,Mk10,13:57:49 27-Jun-2012,,K,B,-33.45800018,27.49399948,CRC 46176.60465,,TAT,43,70,1,62,32,68,93,6,60,165,152,106,23,25,185,110,252,153,119,202,197,12,43,63,184,88,6,208,9,124,65,
"117495",117495,Mk10,15:33:41 27-Jun-2012,,K,B,-33.44699860,27.49399948,CRC 51916.54566,,PDT,156,172,199,57,191,29,232,24,30,60,27,254,24,56,0,237,61,216,253,255,124,254,0,2,65,95,152,5,252,255,63,
"117495",117495,Mk10,19:41:05 27-Jun-2012,,A,B,-33.38999939,27.52300072,CRC 37474.2594,00:00:00 26-Mar-2012,PDT,153,38,32,244,1,96,46,76,118,123,141,108,205,237,197,248,125,98,58,7,179,121,166,93,160,135,120,196,114,230,214,
