DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"Cow shark 1",117484,Mk10,05:38:00 29-May-2013,GPE,,-36.00000000,19.02914047,,222240,124534,0,,,1.781582,7.126328,
"Cow shark 1",117484,Mk10,15:35:00 29-May-2013,GPE,,-36.50000000,19.02362061,,194460,108590,0,55560,0,1.563401,5.471902,
"Cow shark 1",117484,Mk10,05:31:00 30-May-2013,GPE,,-35.00000000,18.43470001,,194460,55666,0,55560,0,1.897407,6.640924,
"Cow shark 1",117484,Mk10,16:03:00 30-May-2013,GPE,,-34.00000000,18.57513046,,194460,137101,0,55560,180,1.907666,6.676830,
"Cow shark 1",117484,Mk10,05:34:00 31-May-2013,GPE,,-33.50000000,18.42119026,,166680,47345,0,,,1.164448,3.493343,
"Cow shark 1",117484,Mk10,16:09:00 31-May-2013,GPE,,-33.50000000,18.27246094,,138900,18532,0,55560,180,1.059482,2.648705,
"Cow shark 1",117484,Mk10,05:51:00 01-Jun-2013,GPE,,-35.50000000,18.61702919,,277800,93269,0,,,2.815593,14.077960,
"Cow shark 1",117484,Mk10,16:11:00 01-Jun-2013,GPE,,-34.50000000,19.17684937,,250020,60285,0,55560,180,2.934891,13.207010,
"Cow shark 1",117484,Mk10,05:28:00 02-Jun-2013,GPE,,-35.50000000,19.13171959,,305580,75620,0,55560,180,4.034575,22.190161,
"Cow shark 1",117484,Mk10,16:15:00 02-Jun-2013,GPE,,-36.50000000,18.56576920,,305580,94082,0,55560,180,4.019536,22.107450,
"Cow shark 1",117484,Mk10,05:28:00 03-Jun-2013,GPE,,-34.00000000,17.29416084,,222240,141595,0,111120,180,2.121672,8.486690,
"Cow shark 1",117484,Mk10,16:07:00 03-Jun-2013,GPE,,-34.00000000,17.27754021,,194460,114776,0,55560,180,1.808974,6.331409,
"Cow shark 1",117484,Mk10,05:30:00 04-Jun-2013,GPE,,-37.00000000,18.75267982,,333360,154021,0,111120,180,4.692279,28.153681,
"Cow shark 1",117484,Mk10,16:15:00 04-Jun-2013,GPE,,-35.50000000,19.14785004,,333360,225935,0,111120,180,4.068381,24.410290,
"Cow shark 1",117484,Mk10,05:37:00 05-Jun-2013,GPE,,-34.50000000,18.26652908,,194460,76327,0,55560,180,1.624350,5.685225,
"Cow shark 1",117484,Mk10,16:12:00 05-Jun-2013,GPE,,-35.00000000,18.11108017,,166680,80227,0,,,1.629127,4.887382,
"Cow shark 1",117484,Mk10,05:43:00 06-Jun-2013,GPE,,-35.00000000,18.30241966,,138900,54419,0,55560,180,1.136409,2.841022,
"Cow shark 1",117484,Mk10,16:01:00 06-Jun-2013,GPE,,-35.50000000,18.25600052,,166680,167314,0,,,1.487042,4.461125,
"Cow shark 1",117484,Mk10,05:41:00 07-Jun-2013,GPE,,-35.50000000,18.27004051,,222240,55012,0,,,1.516936,6.067744,
"Cow shark 1",117484,Mk10,15:51:00 07-Jun-2013,GPE,,-34.00000000,17.57395935,,250020,152717,0,55560,180,2.504598,11.270690,
"Cow shark 1",117484,Mk10,05:28:00 08-Jun-2013,GPE,,-37.00000000,19.36849022,,277800,51781,0,,,3.780329,18.901649,
"Cow shark 1",117484,Mk10,16:09:00 08-Jun-2013,GPE,,-37.00000000,19.09980965,,305580,17749,0,55560,180,4.370697,24.038839,
"Cow shark 1",117484,Mk10,05:28:00 09-Jun-2013,GPE,,-36.00000000,18.30489922,,277800,65828,0,,,3.952325,19.761620,
"Cow shark 1",117484,Mk10,16:11:00 09-Jun-2013,GPE,,-36.00000000,18.81078911,,222240,136844,0,,,2.681982,10.727930,
"Cow shark 1",117484,Mk10,05:37:00 10-Jun-2013,GPE,,-36.00000000,18.58791924,,166680,50006,0,,,1.514329,4.542987,
