DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
"Cow shark 1",117484,0.500000,Mk10,12:00:00 28-May-2013,GPE,-36.00000000,19.02914047,4.000000,0.250000,Archive,32.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 28-May-2013,GPE,-36.00000000,19.02914047,5.000000,0.250000,Archive,14.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 29-May-2013,GPE,-36.00000000,19.02914047,4.500000,0.250000,Archive,15.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 29-May-2013,GPE,-35.00000000,18.43470001,6.000000,0.250000,Archive,14.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 29-May-2013,GPE,-35.00000000,18.43470001,3.500000,0.250000,Archive,13.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 29-May-2013,GPE,-35.00000000,18.43470001,2.000000,0.250000,Archive,14.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 30-May-2013,GPE,-35.00000000,18.43470001,2.000000,0.250000,Archive,14.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 30-May-2013,GPE,-33.50000000,18.42119026,8.000000,0.250000,Archive,13.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 30-May-2013,GPE,-33.50000000,18.42119026,0.500000,0.250000,Archive,33.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 30-May-2013,GPE,-33.50000000,18.42119026,32.500000,0.250000,Archive,43.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 31-May-2013,GPE,-33.50000000,18.42119026,38.000000,0.250000,Archive,45.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 31-May-2013,GPE,-33.50000000,18.42119026,32.000000,0.250000,Archive,46.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 31-May-2013,GPE,-33.50000000,18.42119026,32.500000,0.250000,Archive,41.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 31-May-2013,GPE,-33.50000000,18.42119026,22.000000,0.250000,Archive,40.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 01-Jun-2013,GPE,-33.50000000,18.42119026,17.500000,0.250000,Archive,38.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 01-Jun-2013,GPE,-35.50000000,19.13171959,37.500000,0.250000,Archive,41.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 01-Jun-2013,GPE,-35.50000000,19.13171959,21.500000,0.250000,Archive,42.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 01-Jun-2013,GPE,-35.50000000,19.13171959,0.000000,0.250000,Archive,43.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,0.000000,0.250000,Archive,7.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,0.000000,0.250000,Archive,11.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,0.000000,0.250000,Archive,10.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,0.000000,0.250000,Archive,13.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 03-Jun-2013,GPE,-35.50000000,19.13171959,0.000000,0.250000,Archive,9.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 03-Jun-2013,GPE,-36.50000000,18.56576920,2.500000,0.250000,Archive,10.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 03-Jun-2013,GPE,-36.50000000,18.56576920,0.000000,0.250000,Archive,9.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 03-Jun-2013,GPE,-34.00000000,17.29416084,0.000000,0.250000,Archive,11.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 04-Jun-2013,GPE,-34.00000000,17.29416084,0.000000,0.250000,Archive,6.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 04-Jun-2013,GPE,-34.00000000,17.27754021,1.000000,0.250000,Archive,10.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 04-Jun-2013,GPE,-34.00000000,17.27754021,0.000000,0.250000,Archive,9.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 04-Jun-2013,GPE,-37.00000000,18.75267982,0.000000,0.250000,Archive,2.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 05-Jun-2013,GPE,-37.00000000,18.75267982,0.000000,0.250000,Archive,8.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 05-Jun-2013,GPE,-35.50000000,19.14785004,0.500000,0.250000,Archive,10.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 05-Jun-2013,GPE,-35.50000000,19.14785004,0.000000,0.250000,Archive,10.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 05-Jun-2013,GPE,-34.50000000,18.26652908,0.000000,0.250000,Archive,5.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 06-Jun-2013,GPE,-34.50000000,18.26652908,0.000000,0.250000,Archive,9.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,4.000000,0.250000,Archive,10.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,0.000000,0.250000,Archive,9.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 06-Jun-2013,GPE,-35.00000000,18.30241966,0.000000,0.250000,Archive,14.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 07-Jun-2013,GPE,-35.00000000,18.30241966,0.500000,0.250000,Archive,11.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 07-Jun-2013,GPE,-35.50000000,18.25600052,0.500000,0.250000,Archive,10.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 07-Jun-2013,GPE,-35.50000000,18.25600052,0.000000,0.250000,Archive,9.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 07-Jun-2013,GPE,-35.50000000,18.27004051,0.000000,0.250000,Archive,12.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 08-Jun-2013,GPE,-35.50000000,18.27004051,2.500000,0.250000,Archive,11.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 08-Jun-2013,GPE,-34.00000000,17.57395935,0.000000,0.250000,Archive,0.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 08-Jun-2013,GPE,-34.00000000,17.57395935,1.500000,0.250000,Archive,11.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 08-Jun-2013,GPE,-37.00000000,19.36849022,0.500000,0.250000,Archive,12.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 09-Jun-2013,GPE,-37.00000000,19.36849022,0.000000,0.250000,Archive,9.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 09-Jun-2013,GPE,-37.00000000,19.09980965,0.000000,0.250000,Archive,7.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 09-Jun-2013,GPE,-37.00000000,19.09980965,0.000000,0.250000,Archive,23.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 09-Jun-2013,GPE,-36.00000000,18.30489922,0.000000,0.250000,Archive,10.500000,0.250000,Archive
