DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
"Cow shark 1",117484,0.500000,Mk10,13:00:00 28-May-2013,GPE,-36.00000000,19.02914047,4.0,16.3,Archive
"Cow shark 1",117484,0.500000,Mk10,01:00:00 29-May-2013,GPE,-36.00000000,19.02914047,4.5,16.1,Archive
"Cow shark 1",117484,0.500000,Mk10,17:00:00 29-May-2013,GPE,-35.00000000,18.43470001,4.0,16.1,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 29-May-2013,GPE,-35.00000000,18.43470001,3.5,16.4,Archive
"Cow shark 1",117484,0.500000,Mk10,19:00:00 29-May-2013,GPE,-35.00000000,18.43470001,3.0,16.1,Archive
"Cow shark 1",117484,0.500000,Mk10,20:00:00 29-May-2013,GPE,-35.00000000,18.43470001,3.0,16.2,Archive
"Cow shark 1",117484,0.500000,Mk10,21:00:00 29-May-2013,GPE,-35.00000000,18.43470001,3.0,16.3,Archive
"Cow shark 1",117484,0.500000,Mk10,22:00:00 29-May-2013,GPE,-35.00000000,18.43470001,4.0,16.3,Archive
"Cow shark 1",117484,0.500000,Mk10,23:00:00 29-May-2013,GPE,-35.00000000,18.43470001,4.5,16.2,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 30-May-2013,GPE,-35.00000000,18.43470001,4.0,16.3,Archive
"Cow shark 1",117484,0.500000,Mk10,01:00:00 30-May-2013,GPE,-35.00000000,18.43470001,4.0,16.3,Archive
"Cow shark 1",117484,0.500000,Mk10,02:00:00 30-May-2013,GPE,-35.00000000,18.43470001,2.0,16.2,Archive
"Cow shark 1",117484,0.500000,Mk10,03:00:00 30-May-2013,GPE,-35.00000000,18.43470001,2.5,16.1,Archive
"Cow shark 1",117484,0.500000,Mk10,04:00:00 30-May-2013,GPE,-35.00000000,18.43470001,2.5,16.0,Archive
"Cow shark 1",117484,0.500000,Mk10,05:00:00 30-May-2013,GPE,-35.00000000,18.43470001,3.5,16.2,Archive
"Cow shark 1",117484,0.500000,Mk10,13:00:00 30-May-2013,GPE,-33.50000000,18.42119026,3.0,16.3,Archive
"Cow shark 1",117484,0.500000,Mk10,14:00:00 30-May-2013,GPE,-33.50000000,18.42119026,2.5,16.3,Archive
"Cow shark 1",117484,0.500000,Mk10,15:00:00 30-May-2013,GPE,-33.50000000,18.42119026,2.5,16.2,Archive
"Cow shark 1",117484,0.500000,Mk10,16:00:00 30-May-2013,GPE,-33.50000000,18.42119026,1.5,16.1,Archive
"Cow shark 1",117484,0.500000,Mk10,17:00:00 30-May-2013,GPE,-33.50000000,18.42119026,2.0,16.0,Archive
"Cow shark 1",117484,0.500000,Mk10,22:00:00 01-Jun-2013,GPE,-35.50000000,19.13171959,1.0,15.7,Archive
"Cow shark 1",117484,0.500000,Mk10,23:00:00 01-Jun-2013,GPE,-35.50000000,19.13171959,1.5,15.8,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,0.5,15.7,Archive
"Cow shark 1",117484,0.500000,Mk10,01:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,0.5,15.6,Archive
"Cow shark 1",117484,0.500000,Mk10,02:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,0.5,15.6,Archive
"Cow shark 1",117484,0.500000,Mk10,03:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,1.0,15.5,Archive
"Cow shark 1",117484,0.500000,Mk10,04:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,1.0,15.5,Archive
"Cow shark 1",117484,0.500000,Mk10,05:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,0.5,15.4,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,0.0,15.2,Archive
"Cow shark 1",117484,0.500000,Mk10,07:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,0.5,15.3,Archive
"Cow shark 1",117484,0.500000,Mk10,16:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,5.0,14.6,Archive
"Cow shark 1",117484,0.500000,Mk10,17:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,0.0,14.5,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,0.0,14.5,Archive
"Cow shark 1",117484,0.500000,Mk10,19:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,0.0,14.5,Archive
"Cow shark 1",117484,0.500000,Mk10,20:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,4.0,14.7,Archive
"Cow shark 1",117484,0.500000,Mk10,21:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,0.0,14.3,Archive
"Cow shark 1",117484,0.500000,Mk10,22:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,0.0,14.2,Archive
"Cow shark 1",117484,0.500000,Mk10,23:00:00 02-Jun-2013,GPE,-35.50000000,19.13171959,0.0,14.3,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 03-Jun-2013,GPE,-35.50000000,19.13171959,0.5,14.3,Archive
"Cow shark 1",117484,0.500000,Mk10,01:00:00 03-Jun-2013,GPE,-35.50000000,19.13171959,0.5,14.5,Archive
"Cow shark 1",117484,0.500000,Mk10,02:00:00 03-Jun-2013,GPE,-35.50000000,19.13171959,0.0,14.4,Archive
"Cow shark 1",117484,0.500000,Mk10,03:00:00 03-Jun-2013,GPE,-35.50000000,19.13171959,0.0,14.4,Archive
"Cow shark 1",117484,0.500000,Mk10,04:00:00 03-Jun-2013,GPE,-35.50000000,19.13171959,0.0,13.9,Archive
"Cow shark 1",117484,0.500000,Mk10,05:00:00 03-Jun-2013,GPE,-35.50000000,19.13171959,0.0,14.2,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 03-Jun-2013,GPE,-36.50000000,18.56576920,5.0,14.3,Archive
"Cow shark 1",117484,0.500000,Mk10,07:00:00 03-Jun-2013,GPE,-36.50000000,18.56576920,5.0,14.3,Archive
"Cow shark 1",117484,0.500000,Mk10,08:00:00 03-Jun-2013,GPE,-36.50000000,18.56576920,4.5,14.2,Archive
"Cow shark 1",117484,0.500000,Mk10,09:00:00 03-Jun-2013,GPE,-36.50000000,18.56576920,4.0,14.3,Archive
"Cow shark 1",117484,0.500000,Mk10,11:00:00 03-Jun-2013,GPE,-36.50000000,18.56576920,5.0,14.3,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 03-Jun-2013,GPE,-36.50000000,18.56576920,4.5,14.4,Archive
