ox  oy  px  py  mx  my  ex  ey  smoothX  smoothY
201.722  18.875  201.722  18.875  201.722  18.875  0  0  201.722  18.875
>   >   >   >   >   >   >   >   >   >5
201.19  24.15  202.293  19.6647  201.19  24.15  68.489  75.7587  201.412  21.2437
>   >   >   >   >   >   >   >   >   >2
202.95  12.89  202.528  19.0893  201.122  21.461  46.5273  59.519  201.212  21.8785
>   >   >   >   >   >   >   >   >   >4
199.11  28.79  201.675  20.7077  200.34  21.526  40.4994  64.4198  200.687  23.804
>   >   >   >   >   >   >   >   >   >2
200.64  22.6  201.895  22.0128  200.722  22.076  29.9683  43.0219  200.76  24.5555
>   >   >   >   >   >   >   >   >   >2
197.81  19.2  201.449  23.6353  200.79  25.202  25.8101  27.4575  200.879  25.2875
>   >   >   >   >   >   >   >   >   >2
203.1  26.9  202.284  25.0064  199.914  20.962  23.1532  19.4325  201.331  26.0124
>   >   >   >   >   >   >   >   >   >2
203.29  28.52  202.69  25.4084  199.522  21.032  20.4412  15.129  201.366  26.3642
>   >   >   >   >   >   >   >   >   >2
194.73  7.59  201.228  26.3692  201.338  20.836  18.2181  12.372  201.168  26.6186
>   >   >   >   >   >   >   >   >   >2
198.68  22.95  200.603  26.2708  201.54  21.982  16.6244  10.8692  201.525  26.7584
>   >   >   >   >   >   >   >   >   >2
206.89  18.22  202.74  25.6455  201.45  21.06  15.1131  10.1071  202.6  27.4412
>   >   >   >   >   >   >   >   >   >2
204.11  32.63  203.802  27.3056  203.27  23.728  13.6698  9.58906  203.477  28.8296
>   >   >   >   >   >   >   >   >   >2
202.84  23.91  204.299  29.6328  205.026  25.36  12.9024  7.23198  204.158  29.9051
>   >   >   >   >   >   >   >   >   >2
203.83  20.93  204.461  29.9076  203.718  24.346  12.4412  3.99463  204.484  30.0695
>   >   >   >   >   >   >   >   >   >2
207.46  31.11  205.551  29.989  205.394  22.524  11.7066  3.26505  204.883  30.2979
>   >   >   >   >   >   >   >   >   >2
200.35  13.15  204.314  29.7752  206.106  24.796  11.1528  2.75734  204.943  30.5084
>   >   >   >   >   >   >   >   >   >2
212.49  23.52  207.975  30.7673  205.676  25.378  9.5818  3.60255  205.961  32.1702
>   >   >   >   >   >   >   >   >   >2
206.4  35.27  207.705  32.3368  204.756  25.076  9.55582  2.49791  205.726  33.3869
>   >   >   >   >   >   >   >   >   >2
201.68  23.84  206.578  33.971  206.068  26.8  8.85912  2.18439  205.425  34.5571
>   >   >   >   >   >   >   >   >   >2
202.86  29.6  205.497  35.1474  204.29  29.11  8.62546  1.20262  205.415  35.2373
>   >   >   >   >   >   >   >   >   >2
206.91  21.77  206.099  35.3173  204.646  29.26  8.21539  0.611099  205.725  35.4466
>   >   >   >   >   >   >   >   >   >2
203.6  35.07  205.499  35.9856  205.344  32.062  7.89625  0.575991  205.831  36.0597
>   >   >   >   >   >   >   >   >   >2
208.18  36.02  206.526  36.3854  205.924  33.204  7.55955  0.450427  206.299  36.4499
>   >   >   >   >   >   >   >   >   >3
205.17  37.85  206.356  37.024  206.238  36.676  7.90853  0.501345  206.544  37.0607
>   >   >   >   >   >   >   >   >   >2
205.76  35.31  206.343  37.1846  207.51  36.616  7.1609  0.436796  206.941  37.2432
>   >   >   >   >   >   >   >   >   >2
208.48  39.13  207.254  37.582  207.136  36.322  6.69402  0.414354  207.54  37.6499
>   >   >   >   >   >   >   >   >   >2
209.96  34.77  208.479  37.8944  207.462  36.154  6.12481  0.513  207.999  38.074
>   >   >   >   >   >   >   >   >   >2
206.31  34.55  208.085  38.9047  208.166  36.552  5.90034  0.502884  208.183  38.7998
>   >   >   >   >   >   >   >   >   >2
206.8  37.01  207.798  38.2976  208.75  36.716  5.67026  0.460777  208.467  38.1721
>   >   >   >   >   >   >   >   >   >2
209.28  37.3  208.22  37.8657  208.786  36.85  5.13138  0.628182  209.069  37.6897
>   >   >   >   >   >   >   >   >   >2
211.4  39.95  209.097  37.5672  209.6  36.798  4.9951  0.676577  209.797  37.491
>   >   >   >   >   >   >   >   >   >2
210.14  35.44  209.711  37.9977  210.94  36.974  4.9127  0.66008  210.593  37.7688
>   >   >   >   >   >   >   >   >   >2
210.38  34.29  210.075  37.519  211.534  36.652  4.83042  0.578658  211.267  37.3945
>   >   >   >   >   >   >   >   >   >2
213.5  37.89  211.299  37.6355  212.252  36.254  4.83057  0.445794  212.338  37.7837
>   >   >   >   >   >   >   >   >   >2
212.25  35.69  211.826  38.6839  212.77  36.208  4.77232  0.411752  213.358  38.8236
>   >   >   >   >   >   >   >   >   >2
214.99  37.96  213.123  40.0791  215.638  34.824  4.63428  0.338496  214.583  39.7829
>   >   >   >   >   >   >   >   >   >2
212.73  35.21  212.927  38.3203  215.604  34.182  4.40913  0.386159  215.46  38.2014
>   >   >   >   >   >   >   >   >   >2
224.72  27.37  217.234  38.3949  217.966  31.25  4.32103  0.408583  217.097  38.2441
>   >   >   >   >   >   >   >   >   >2
213.33  34.68  216.438  37.3698  218.074  29.234  4.1234  0.423548  217.167  37.3961
>   >   >   >   >   >   >   >   >   >2
224.06  21.03  219.108  37.8391  219.154  27.814  4.14307  0.405332  217.854  37.2687
>   >   >   >   >   >   >   >   >   >2
215.53  27.88  218.525  34.9596  216.854  29.334  4.01081  0.48488  217.408  34.852
>   >   >   >   >   >   >   >   >   >2
218.13  28.11  218.657  34.9044  216.548  28.212  3.91595  0.612196  217.129  34.7501
>   >   >   >   >   >   >   >   >   >2
213.22  34.97  216.949  34.0695  213.22  34.97  3.94605  0.656383  216.558  34.0685
>   >   >   >   >   >   >   >   >   >2
211.8  29.07  216.827  34.7672  211.8  29.07  3.35682  1.795  216.64  33.9175
>   >   >   >   >   >   >   >   >   >10
216.337  29.404  216.473  29.404  216.337  29.404  2.22226e-10  2.22222e-10  216.337  29.404
