#Auto generated data file from R-KFsst 
#Mon May 19 18:12:27 2014
#
# Number of data points
  45
#
# 1 if first point is true release position; 0 otherwise
  1
#
# 1 if last point is true recapture position; 0 otherwise
  1
#
# active parameters 
# u	v	D	bx	by	bsst	sx	sy	ssst	a0	b0
  1	1	1	0	1	0	1	1	1	1	1
#
# initial values 
# u	v	D	bx	by	bsst	sx	sy	ssst	a0	b0
  0	0	100	0	0	0	0.1	1	0.1	0.001	0
#
# latitude errors 
# cos	dev	deviation penalty weight
  1	0	0
#
# Positions 
# day	month	year	long	lati	sst
  11	4	2001	201.722	18.875	24.73
  16	4	2001	201.19	24.15	24.37
  18	4	2001	202.95	12.89	24.73
  22	4	2001	199.11	28.79	24.37
  24	4	2001	200.64	22.6	23.83
  26	4	2001	197.81	19.2	23.39
  28	4	2001	203.1	26.9	22.77
  30	4	2001	203.29	28.52	22.95
  2	5	2001	194.73	7.59	22.59
  4	5	2001	198.68	22.95	23.12
  6	5	2001	206.89	18.22	22.77
  8	5	2001	204.11	32.63	21.54
  10	5	2001	202.84	23.91	21.02
  12	5	2001	203.83	20.93	21.19
  14	5	2001	207.46	31.11	21.02
  16	5	2001	200.35	13.15	21.36
  18	5	2001	212.49	23.52	20.32
  20	5	2001	206.4	35.27	19.8
  22	5	2001	201.68	23.84	18.77
  24	5	2001	202.86	29.6	18.6
  26	5	2001	206.91	21.77	18.26
  28	5	2001	203.6	35.07	17.58
  30	5	2001	208.18	36.02	17.07
  2	6	2001	205.17	37.85	16.74
  4	6	2001	205.76	35.31	16.57
  6	6	2001	208.48	39.13	15.98
  8	6	2001	209.96	34.77	16.24
  10	6	2001	206.31	34.55	14.91
  12	6	2001	206.8	37.01	15.98
  14	6	2001	209.28	37.3	17.24
  16	6	2001	211.4	39.95	17.41
  18	6	2001	210.14	35.44	16.57
  20	6	2001	210.38	34.29	17.08
  22	6	2001	213.5	37.89	18.09
  24	6	2001	212.25	35.69	16.74
  26	6	2001	214.99	37.96	15.07
  28	6	2001	212.73	35.21	17.58
  30	6	2001	224.72	27.37	16.57
  2	7	2001	213.33	34.68	18.26
  4	7	2001	224.06	21.03	17.41
  6	7	2001	215.53	27.88	20.84
  8	7	2001	218.13	28.11	20.23
  10	7	2001	213.22	34.97	21.27
  12	7	2001	211.8	29.07	20.84
  22	7	2001	216.337	29.404	22.42
  
