ox  oy  px  py  mx  my  ex  ey  smoothX  smoothY
201.75  18.65  201.75  18.65  201.75  18.65  0  0  201.75  18.65
204.52  20  201.683  18.5184  204.52  20  2.71464  5.81596  201.853  18.551
206.086  22  202.642  18.4587  204.393  21.13  2.09867  7.39558  202.336  18.4864
204.399  23.5  201.879  18.5855  204.846  21.3  1.60183  7.82856  201.834  18.4206
205.209  21.5  202.15  18.5188  204.856  21.5  1.28469  7.787  201.843  18.2661
204.016  19.5  201.46  18.2556  204.312  20.8  1.07197  7.53167  201.352  18.1078
204.569  21  201.585  18.1777  204.116  19.8  0.92214  7.18467  201.241  17.9802
203.369  18.5  200.843  17.8154  203.64  19.6  0.808074  6.81246  200.68  17.8559
203.415  18.5  200.618  17.4862  203.587  19.6  0.72151  6.44692  200.467  17.7797
202.833  20.5  200.157  17.4607  203.43  19.5  0.651855  6.10594  200.278  17.7554
203.748  19.5  200.598  17.2827  203.469  19.6  0.593895  5.79559  200.605  17.7145
203.784  20.5  200.774  17.2644  203.556  20.1  0.544961  5.51899  200.712  17.703
203.567  19  200.692  17.0662  203.738  20.3  0.503069  5.27407  200.692  17.6934
203.846  21  200.846  17.1321  203.743  20.4  0.467897  5.05862  200.789  17.7108
203.747  21.5  200.835  17.2491  203.719  20.4  0.436588  4.87032  200.777  17.7195
203.77  20  200.846  17.174  203.666  20.9  0.409111  4.70633  200.766  17.7072
203.664  20.5  200.78  17.1645  203.661  21.9  0.38532  4.56431  200.71  17.7039
203.305  21.5  200.522  17.2665  204.001  22.2  0.364146  4.4419  200.675  17.6984
203.817  26  200.768  17.8065  204.064  21.2  0.345173  4.33695  201.064  17.6629
205.451  23  201.927  17.9444  204.198  20.6  0.326816  4.24823  201.721  17.5334
204.082  15  201.428  17.3154  204.579  20.2  0.309944  4.17444  201.43  17.3934
204.334  17.5  201.421  17.0006  204.806  19.8  0.297227  4.11349  201.532  17.3113
205.209  19.5  201.99  16.8879  204.381  19.7  0.285113  4.06479  201.839  17.2548
204.955  24  202.02  17.1737  204.427  20.4  0.273181  4.02764  201.647  17.2164
203.323  22.5  200.961  17.3174  204.445  20.5  0.261767  4.00094  201.037  17.1449
204.313  18.5  201.246  17.107  204.285  20.1  0.252288  3.98318  201.275  17.0283
204.425  18  201.417  16.8897  204.297  19.2  0.243385  3.97622  201.428  16.925
204.409  17.5  201.466  16.6635  204.556  17.6  0.235023  3.97863  201.544  16.8358
205.015  19.5  201.878  16.579  204.587  18  0.227292  3.98997  201.789  16.758
204.618  14.5  201.762  16.2142  204.765  18.9  0.219654  4.01019  201.715  16.6881
204.469  20.5  201.624  16.2157  204.866  19.5  0.213111  4.03892  201.721  16.6449
205.316  22.5  202.129  16.2949  204.764  18.3  0.206692  4.07606  201.999  16.5894
204.911  20.5  202.04  16.2755  204.659  19.1  0.20015  4.12193  201.849  16.5294
204.504  13.5  201.744  15.9688  204.551  18.5  0.194351  4.17609  201.585  16.4669
204.093  18.5  201.373  15.886  204.641  20.6  0.189419  4.23845  201.382  16.4228
203.931  17.5  201.138  15.7727  204.728  23.5  0.184716  4.30888  201.497  16.3732
205.766  33  202.254  16.0641  204.888  28.6  0.180264  4.38747  202.269  16.3116
205.348  35  202.369  16.3796  205.346  33.5  0.174698  4.47428  202.39  16.2367
205.304  39  202.38  16.7158  205.652  39.4  0.169738  4.56852  202.524  16.133
206.382  43  203.089  17.0393  205.53  41.4  0.165191  4.66937  202.89  15.9954
205.458  47  202.729  17.3537  205.62  42.3  0.160424  4.77609  202.614  15.843
205.157  43  202.407  17.5618  205.908  42.6  0.156493  4.88703  202.49  15.6614
>   >   >   >   >   >   >   >   >   >2
