day,month,year,lon,lat,sst
13,4,2012,22.13,-34.183,
16,4,2012,20.66913,-39,16.5
16,4,2012,20.60541,-36.5,19
17,4,2012,21.09077,-39,18.6
17,4,2012,20.31967,-40,18.8
18,4,2012,20.01073,-38,18.8
18,4,2012,20.4008,-33.5,18.8
19,4,2012,21.26769,-36,18.7
19,4,2012,21.4746,-33.5,18.6
20,4,2012,21.54871,-34,18.8
20,4,2012,21.55716,-33,18.7
21,4,2012,21.59775,-34.5,18.8
21,4,2012,21.56957,-33.5,18.5
22,4,2012,21.57592,-40.5,18.4
22,4,2012,21.03812,-41,18.4
23,4,2012,21.03199,-37,18.3
23,4,2012,21.07825,-36,18.5
24,4,2012,20.96845,-36,18.7
24,4,2012,21.38942,-32.5,18.4
25,4,2012,22.05206,-37.5,18.1
25,4,2012,20.89907,-41.5,18.1
26,4,2012,22.90838,-41.5,17.6
27,4,2012,21.2288,-35.5,17.1
27,4,2012,21.04277,-36,17.3
28,4,2012,21.37188,-37,17.3
28,4,2012,21.59543,-35,17.7
29,4,2012,21.371,-34.5,17.6
29,4,2012,20.82449,-35.5,17.8
30,4,2012,20.80577,-35,17.7
30,4,2012,20.89069,-35.5,17.8
1,5,2012,21.4333,-37.5,17.4
1,5,2012,21.31551,-37,17.4
2,5,2012,21.05373,-34.5,17.5
2,5,2012,19.4881,-38.5,17.6
3,5,2012,19.08423,-39,17.4
3,5,2012,22.57908,-25.5,17.8
4,5,2012,23.27906,-34,17.8
4,5,2012,21.68,-38.5,17.9
5,5,2012,21.76965,-37.5,17.9
5,5,2012,21.59755,-37.5,17.9
6,5,2012,21.41419,-36,17.9
6,5,2012,21.48095,-35,18.2
7,5,2012,20.94908,-35.5,17.9
7,5,2012,20.72297,-36,18.2
8,5,2012,21.2486,-35,18.1
8,5,2012,20.69983,-36.5,18.4
9,5,2012,20.71799,-36,18
9,5,2012,20.32125,-36.5,18.1
10,5,2012,20.34917,-36.5,18.1
10,5,2012,20.22206,-36,17.8
11,5,2012,20.24224,-36.5,17.3
11,5,2012,20.03807,-38,16.5
12,5,2012,19.73862,-37.5,16.3
12,5,2012,20.10705,-36,16.6
14,5,2012,19.68571,-35.5,16.1
14,5,2012,18.36222,-38.5,16.2
15,5,2012,18.25587,-38,15.3
15,5,2012,18.64096,-36,15.6
16,5,2012,19.2443,-37,15.4
16,5,2012,19.34721,-36.5,15.9
17,5,2012,19.73269,-37,15.6
17,5,2012,19.82301,-36.5,15.5
18,5,2012,19.20181,-35,16.2
19,5,2012,17.69219,-36.5,15.7
21,5,2012,21.30227,-33,16.2
21,5,2012,20.83763,-33.5,16.8
22,5,2012,21.2293,-34,17.2
22,5,2012,20.59263,-35,17.1
23,5,2012,20.44938,-34.5,17
23,5,2012,20.59203,-34,17
24,5,2012,20.66158,-34.5,16.9
24,5,2012,20.79289,-34,16.9
