day,month,year,lon,lat,sst
28,5,2013,18.64,-34.2198,
29,5,2013,19.02914,-36,16.1
29,5,2013,19.02362,-36.5,16.1
30,5,2013,18.4347,-35,16.2
30,5,2013,18.57513,-34,16.1
31,5,2013,18.42119,-33.5,13.2
31,5,2013,18.27246,-33.5,14.9
1,6,2013,18.61703,-35.5,14.9
1,6,2013,19.17685,-34.5,15.7
2,6,2013,19.13172,-35.5,15.2
2,6,2013,18.56577,-36.5,14.5
3,6,2013,17.29416,-34,14.4
3,6,2013,17.27754,-34,14.8
4,6,2013,18.75268,-37,14.8
4,6,2013,19.14785,-35.5,15
5,6,2013,18.26653,-34.5,15.1
5,6,2013,18.11108,-35,15.4
6,6,2013,18.30242,-35,15.3
6,6,2013,18.256,-35.5,15.7
7,6,2013,18.27004,-35.5,15.7
7,6,2013,17.57396,-34,15.9
8,6,2013,19.36849,-37,15.8
8,6,2013,19.09981,-37,15.7
9,6,2013,18.3049,-36,15.3
9,6,2013,18.81079,-36,15.7
10,6,2013,18.58792,-36,15.5
10,6,2013,18.72145,-35.5,15.7
11,6,2013,18.66517,-35.5,15.6
11,6,2013,18.558,-35.5,15.7
12,6,2013,18.56619,-35.5,15.5
12,6,2013,18.78624,-35,15.6
13,6,2013,18.72222,-35,15.5
13,6,2013,17.14505,-37,15.2
14,6,2013,17.80445,-37.5,14.6
14,6,2013,18.73101,-36,14.7
15,6,2013,18.50964,-35.5,14.6
15,6,2013,18.44595,-35,14.6
16,6,2013,18.51645,-35,14.7
16,6,2013,18.76579,-35,15
17,6,2013,18.43723,-34.5,14.9
17,6,2013,18.25735,-35,15.3
18,6,2013,18.58736,-35.5,15.2
18,6,2013,18.57494,-35.5,15.5
19,6,2013,18.26767,-35,15.4
19,6,2013,18.59747,-34.5,15.2
20,6,2013,18.53798,-35.5,14.9
20,6,2013,17.89137,-36.5,15
21,6,2013,17.50823,-34,14.7
21,6,2013,18.2235,-33,14.6
22,6,2013,17.88861,-34.5,14.5
23,6,2013,18.12659,-35.5,15.1
24,6,2013,17.56234,-34,14.6
24,6,2013,17.12052,-32.5,14.5
25,6,2013,17.9943,-35,14.4
25,6,2013,18.15175,-35,14.1
26,6,2013,18.24319,-34.5,14
26,6,2013,18.73985,-34,14.1
27,6,2013,18.95033,-35.5,14.1
27,6,2013,19.28825,-35,15.7
28,6,2013,18.82286,-34,15.5
28,6,2013,18.20977,-35,15.9
29,6,2013,17.59242,-34.5,15.7
29,6,2013,18.40869,-33.5,15.7
30,6,2013,18.86047,-34.5,15.6
30,6,2013,18.4784,-34.5,15.7
1,7,2013,18.48528,-36,15.5
1,7,2013,18.69834,-36,15.6
2,7,2013,18.38195,-35.5,15.4
2,7,2013,18.43735,-35.5,15.5
3,7,2013,18.54387,-35.5,15.3
3,7,2013,18.60347,-35.5,15.2
4,7,2013,18.15292,-34.5,15
4,7,2013,18.34949,-34,14.7
5,7,2013,18.62659,-34,14.8
5,7,2013,18.5997,-34.5,14.8
6,7,2013,18.71729,-34.5,14.7
6,7,2013,19.09369,-34,14.5
7,7,2013,18.43834,-33,14.2
7,7,2013,18.53236,-33,14.1
8,7,2013,18.69634,-33.5,12.7
8,7,2013,17.92245,-35.5,12.9
9,7,2013,18.18746,-36,12.6
9,7,2013,18.59123,-35.5,13.6
10,7,2013,18.35553,-35,13.8
10,7,2013,17.98213,-36.5,14.1
11,7,2013,17.92256,-36.5,14
11,7,2013,18.49539,-35,14.3
12,7,2013,18.48348,-35,14.2
12,7,2013,18.67873,-34.5,14.3
13,7,2013,18.34675,-34,14.4
13,7,2013,18.14155,-34.5,14.4
14,7,2013,18.15355,-34.5,14.3
14,7,2013,17.92394,-36.5,14.3
15,7,2013,17.98946,-36,14.4
15,7,2013,18.80649,-33.5,14.3
16,7,2013,18.63196,-33,14.4
16,7,2013,19.03846,-31.5,14.2
17,7,2013,19.28406,-31.5,14.4
17,7,2013,18.34384,-34.5,14.2
18,7,2013,18.05988,-34,14.3
18,7,2013,18.3506,-34.5,13.1
19,7,2013,18.1429,-34.5,14.3
19,7,2013,17.8612,-34,12.2
20,7,2013,18.24419,-34,13.3
20,7,2013,18.53521,-34,12.5
21,7,2013,17.69066,-32.5,14.3
21,7,2013,18.10679,-31.5,11.9
22,7,2013,19.17444,-33,14.3
22,7,2013,19.8296,-33,14.2
23,7,2013,18.99107,-30.5,12.4
23,7,2013,16.91765,-35.5,14.3
