DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"117495",117495,Mk10,12:08:00 09-Apr-2012,GPE,,-74.50000000,27.80607986,,138900,89397,0,166680,180,19.234329,48.085831,
"117495",117495,Mk10,16:30:00 11-Apr-2012,GPE,,-27.00000000,26.34926987,,1305660,177423,0,611160,180,5.188917,121.939499,
"117495",117495,Mk10,05:21:00 05-May-2012,GPE,,-34.50000000,26.52389908,,194460,18315,0,55560,180,1.208584,4.230045,
"117495",117495,Mk10,04:45:00 10-May-2012,GPE,,-34.50000000,27.17937088,,361140,118423,0,55560,180,3.581523,23.279900,
"117495",117495,Mk10,04:46:00 14-May-2012,GPE,,-51.00000000,34.81864929,,361140,291034,0,55560,180,3.134626,20.375071,
"117495",117495,Mk10,04:53:00 16-May-2012,GPE,,-35.50000000,27.09568977,,444480,164989,0,111120,180,5.252006,42.016041,
"117495",117495,Mk10,05:11:00 24-May-2012,GPE,,-38.00000000,26.03141022,,250020,191529,0,55560,180,2.565287,11.543790,
"117495",117495,Mk10,05:30:00 26-May-2012,GPE,,-37.00000000,25.68227959,,583380,218997,0,277800,180,6.038409,63.403290,
"117495",117495,Mk10,05:13:00 02-Jun-2012,GPE,,-36.50000000,27.38252068,,194460,101506,0,55560,180,2.053688,7.187908,
"117495",117495,Mk10,04:57:00 16-Jun-2012,GPE,,-25.50000000,35.30786896,,1250100,20059,0,1389000,180,12.310980,276.996887,
"117495",117495,Mk10,04:19:49 27-Jun-2012,Argos,B,-33.46200180,27.37500000,,,,,,,,,
"117495",117495,Mk10,05:59:23 27-Jun-2012,Argos,B,-33.47499847,27.42000008,,,,,,,,,
"117495",117495,Mk10,06:38:16 27-Jun-2012,Argos,A,-33.45999908,27.41600037,,,,,,,,,
"117495",117495,Mk10,07:17:02 27-Jun-2012,Argos,B,-33.45500183,27.41699982,,,,,,,,,
"117495",117495,Mk10,11:46:32 27-Jun-2012,Argos,B,-33.44900131,27.42900085,,,,,,,,,
"117495",117495,Mk10,13:10:01 27-Jun-2012,Argos,B,-33.47299957,27.47400093,,,,,,,,,
"117495",117495,Mk10,13:21:54 27-Jun-2012,Argos,B,-33.47200012,27.47699928,,,,,,,,,
"117495",117495,Mk10,13:57:48 27-Jun-2012,Argos,B,-33.45800018,27.49399948,,,,,,,,,
"117495",117495,Mk10,15:36:10 27-Jun-2012,Argos,B,-33.44699860,27.49399948,,,,,,,,,
"117495",117495,Mk10,18:13:07 27-Jun-2012,Argos,B,-33.44499969,27.51600075,,,,,,,,,
"117495",117495,Mk10,19:03:38 27-Jun-2012,Argos,B,-33.42399979,27.51700020,,,,,,,,,
"117495",117495,Mk10,19:41:04 27-Jun-2012,Argos,B,-33.38999939,27.52300072,,,,,,,,,
"117495",117495,Mk10,20:45:01 27-Jun-2012,Argos,B,-33.35400009,27.54599953,,,,,,,,,
"117495",117495,Mk10,23:00:52 27-Jun-2012,Argos,B,-33.30199814,27.57799911,,,,,,,,,
"117495",117495,Mk10,00:38:16 28-Jun-2012,Argos,B,-33.28200150,27.58900070,,,,,,,,,
"117495",117495,Mk10,01:16:37 28-Jun-2012,Argos,B,-33.17100143,27.69300079,,,,,,,,,
"117495",117495,Mk10,04:47:25 28-Jun-2012,Argos,B,-32.99900055,27.94000053,,,,,,,,,
"117495",117495,Mk10,05:24:00 28-Jun-2012,GPE,,-33.00000000,28.18820000,,166680,59354,0,,,1.572476,4.717428,
"117495",117495,Mk10,05:36:46 28-Jun-2012,Argos,B,-32.93799973,28.00099945,,,,,,,,,
"117495",117495,Mk10,06:59:10 28-Jun-2012,Argos,B,-32.99399948,27.94400024,,,,,,,,,
"117495",117495,Mk10,11:30:27 28-Jun-2012,Argos,B,-33.04999924,27.90800095,,,,,,,,,
