DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"Gansbaai GW2",117494,Mk10,05:21:00 16-Apr-2012,GPE,,-39.00000000,20.66913033,,416700,36949,0,55560,180,1.431484,10.736130,
"Gansbaai GW2",117494,Mk10,16:36:00 16-Apr-2012,GPE,,-36.50000000,20.60540962,,388920,35809,0,,,1.119865,7.839053,
"Gansbaai GW2",117494,Mk10,04:53:00 17-Apr-2012,GPE,,-39.00000000,21.09077072,,388920,77742,0,,,1.267615,8.873306,
"Gansbaai GW2",117494,Mk10,16:40:00 17-Apr-2012,GPE,,-40.00000000,20.31966972,,527820,82311,0,55560,180,2.378226,22.593149,
"Gansbaai GW2",117494,Mk10,05:01:00 18-Apr-2012,GPE,,-38.00000000,20.01073074,,472260,116920,0,55560,180,2.048753,17.414400,
"Gansbaai GW2",117494,Mk10,16:35:00 18-Apr-2012,GPE,,-33.50000000,20.40080070,,305580,18532,0,55560,180,1.097315,6.035234,
"Gansbaai GW2",117494,Mk10,04:51:00 19-Apr-2012,GPE,,-36.00000000,21.26769066,,638940,295636,0,166680,180,2.955591,33.989300,
"Gansbaai GW2",117494,Mk10,16:50:00 19-Apr-2012,GPE,,-33.50000000,21.47459984,,583380,59404,0,55560,180,3.095245,32.500069,
"Gansbaai GW2",117494,Mk10,04:51:00 20-Apr-2012,GPE,,-34.00000000,21.54870987,,583380,46239,0,55560,180,3.051967,32.045650,
"Gansbaai GW2",117494,Mk10,16:38:00 20-Apr-2012,GPE,,-33.00000000,21.55715942,,500040,155197,0,111120,180,2.374929,21.374359,
"Gansbaai GW2",117494,Mk10,05:06:00 21-Apr-2012,GPE,,-34.50000000,21.59774971,,555600,166259,0,111120,180,2.954909,29.549089,
"Gansbaai GW2",117494,Mk10,16:38:00 21-Apr-2012,GPE,,-33.50000000,21.56957054,,527820,185428,0,55560,180,2.888941,27.444941,
"Gansbaai GW2",117494,Mk10,05:01:00 22-Apr-2012,GPE,,-40.50000000,21.57592010,,555600,266200,0,111120,180,2.784692,27.846920,
"Gansbaai GW2",117494,Mk10,16:30:00 22-Apr-2012,GPE,,-41.00000000,21.03812027,,583380,177902,0,55560,180,3.303671,34.688549,
"Gansbaai GW2",117494,Mk10,05:16:00 23-Apr-2012,GPE,,-37.00000000,21.03199005,,500040,160775,0,111120,180,2.317664,20.858980,
"Gansbaai GW2",117494,Mk10,16:35:00 23-Apr-2012,GPE,,-36.00000000,21.07825089,,361140,79732,0,55560,180,1.980073,12.870470,
"Gansbaai GW2",117494,Mk10,05:04:00 24-Apr-2012,GPE,,-36.00000000,20.96845055,,333360,80299,0,,,1.761097,10.566580,
"Gansbaai GW2",117494,Mk10,16:28:00 24-Apr-2012,GPE,,-32.50000000,21.38941956,,333360,113089,0,111120,180,1.639895,9.839370,
"Gansbaai GW2",117494,Mk10,05:09:00 25-Apr-2012,GPE,,-37.50000000,22.05205917,,361140,73414,0,55560,180,1.448415,9.414696,
"Gansbaai GW2",117494,Mk10,16:10:00 25-Apr-2012,GPE,,-41.50000000,20.89907074,,277800,84163,0,,,1.406220,7.031100,
"Gansbaai GW2",117494,Mk10,16:19:00 26-Apr-2012,GPE,,-41.50000000,22.90838051,,500040,123940,0,111120,180,3.837314,34.535831,
"Gansbaai GW2",117494,Mk10,05:12:00 27-Apr-2012,GPE,,-35.50000000,21.22879982,,305580,86265,0,55560,180,1.368929,7.529111,
"Gansbaai GW2",117494,Mk10,16:26:00 27-Apr-2012,GPE,,-36.00000000,21.04277039,,250020,17980,0,55560,180,1.094419,4.924883,
"Gansbaai GW2",117494,Mk10,05:23:00 28-Apr-2012,GPE,,-37.00000000,21.37187958,,277800,69623,0,,,1.401268,7.006338,
"Gansbaai GW2",117494,Mk10,16:16:00 28-Apr-2012,GPE,,-35.00000000,21.59543037,,305580,96166,0,55560,180,1.504555,8.275050,
"Gansbaai GW2",117494,Mk10,05:22:00 29-Apr-2012,GPE,,-34.50000000,21.37100029,,250020,49620,0,55560,180,1.262041,5.679184,
"Gansbaai GW2",117494,Mk10,16:17:00 29-Apr-2012,GPE,,-35.50000000,20.82448959,,277800,73220,0,111120,180,1.388555,6.942776,
"Gansbaai GW2",117494,Mk10,05:14:00 30-Apr-2012,GPE,,-35.00000000,20.80577087,,333360,19660,0,,,1.372462,8.234771,
"Gansbaai GW2",117494,Mk10,16:05:00 30-Apr-2012,GPE,,-35.50000000,20.89068985,,277800,104215,0,,,1.518304,7.591517,
"Gansbaai GW2",117494,Mk10,05:29:00 01-May-2012,GPE,,-37.50000000,21.43330002,,305580,39236,0,55560,180,1.835876,10.097320,
"Gansbaai GW2",117494,Mk10,16:11:00 01-May-2012,GPE,,-37.00000000,21.31550980,,277800,17749,0,,,1.787201,8.936007,
"Gansbaai GW2",117494,Mk10,05:30:00 02-May-2012,GPE,,-34.50000000,21.05373001,,305580,91972,0,55560,180,1.674925,9.212088,
"Gansbaai GW2",117494,Mk10,15:59:00 02-May-2012,GPE,,-38.50000000,19.48810005,,222240,18085,0,,,1.046942,4.187767,
"Gansbaai GW2",117494,Mk10,05:29:00 03-May-2012,GPE,,-39.00000000,19.08423042,,333360,87350,0,,,1.897774,11.386640,
"Gansbaai GW2",117494,Mk10,16:10:00 03-May-2012,GPE,,-25.50000000,22.57908058,,277800,20059,0,,,1.381919,6.909593,
"Gansbaai GW2",117494,Mk10,05:28:00 04-May-2012,GPE,,-34.00000000,23.27906036,,527820,63123,0,55560,180,3.779712,35.907261,
"Gansbaai GW2",117494,Mk10,16:10:00 04-May-2012,GPE,,-38.50000000,21.68000031,,416700,107799,0,55560,180,3.220405,24.153030,
"Gansbaai GW2",117494,Mk10,05:28:00 05-May-2012,GPE,,-37.50000000,21.76964951,,305580,76009,0,55560,180,2.184544,12.014990,
"Gansbaai GW2",117494,Mk10,16:09:00 05-May-2012,GPE,,-37.50000000,21.59754944,,333360,97925,0,,,2.283636,13.701810,
"Gansbaai GW2",117494,Mk10,05:36:00 06-May-2012,GPE,,-36.00000000,21.41419029,,222240,53529,0,,,1.415493,5.661972,
"Gansbaai GW2",117494,Mk10,16:01:00 06-May-2012,GPE,,-35.00000000,21.48094940,,277800,78264,0,,,1.655386,8.276930,
"Gansbaai GW2",117494,Mk10,05:25:00 07-May-2012,GPE,,-35.50000000,20.94907951,,416700,144406,0,55560,180,2.962466,22.218491,
"Gansbaai GW2",117494,Mk10,16:07:00 07-May-2012,GPE,,-36.00000000,20.72296906,,388920,181871,0,,,2.609313,18.265190,
"Gansbaai GW2",117494,Mk10,05:18:00 08-May-2012,GPE,,-35.00000000,21.24860001,,222240,23398,0,,,1.178723,4.714891,
"Gansbaai GW2",117494,Mk10,16:02:00 08-May-2012,GPE,,-36.50000000,20.69982910,,194460,36101,0,55560,0,1.203330,4.211654,
"Gansbaai GW2",117494,Mk10,05:33:00 09-May-2012,GPE,,-36.00000000,20.71799088,,194460,22652,0,55560,180,1.065194,3.728178,
"Gansbaai GW2",117494,Mk10,15:53:00 09-May-2012,GPE,,-36.50000000,20.32125092,,194460,64281,0,55560,0,1.199291,4.197518,
"Gansbaai GW2",117494,Mk10,05:21:00 10-May-2012,GPE,,-36.50000000,20.34917068,,222240,70312,0,,,1.650900,6.603601,
"Gansbaai GW2",117494,Mk10,16:10:00 10-May-2012,GPE,,-36.00000000,20.22205925,,250020,42615,0,55560,180,1.763471,7.935621,
"Gansbaai GW2",117494,Mk10,05:28:00 11-May-2012,GPE,,-36.50000000,20.24224091,,305580,93495,0,55560,180,2.649629,14.572960,
"Gansbaai GW2",117494,Mk10,16:09:00 11-May-2012,GPE,,-38.00000000,20.03807068,,305580,71002,0,55560,180,2.980798,16.394390,
"Gansbaai GW2",117494,Mk10,05:13:00 12-May-2012,GPE,,-37.50000000,19.73862076,,222240,24567,0,,,1.985007,7.940027,
"Gansbaai GW2",117494,Mk10,16:09:00 12-May-2012,GPE,,-36.00000000,20.10704994,,194460,65794,0,55560,180,1.376051,4.816177,
"Gansbaai GW2",117494,Mk10,05:31:00 14-May-2012,GPE,,-35.50000000,19.68571091,,277800,109182,0,,,2.209588,11.047940,
"Gansbaai GW2",117494,Mk10,16:19:00 14-May-2012,GPE,,-38.50000000,18.36222076,,277800,58083,0,,,2.753224,13.766120,
"Gansbaai GW2",117494,Mk10,05:34:00 15-May-2012,GPE,,-38.00000000,18.25587082,,222240,151342,0,,,1.606133,6.424532,
"Gansbaai GW2",117494,Mk10,16:01:00 15-May-2012,GPE,,-36.00000000,18.64096069,,250020,149802,0,55560,0,1.956651,8.804931,
"Gansbaai GW2",117494,Mk10,05:19:00 16-May-2012,GPE,,-37.00000000,19.24430084,,333360,92297,0,111120,180,3.702563,22.215380,
"Gansbaai GW2",117494,Mk10,16:19:00 16-May-2012,GPE,,-36.50000000,19.34720993,,333360,146342,0,,,3.473445,20.840670,
"Gansbaai GW2",117494,Mk10,05:25:00 17-May-2012,GPE,,-37.00000000,19.73269081,,194460,17749,0,55560,0,1.367082,4.784789,
"Gansbaai GW2",117494,Mk10,16:03:00 17-May-2012,GPE,,-36.50000000,19.82300949,,222240,38262,0,,,1.688376,6.753504,
"Gansbaai GW2",117494,Mk10,05:41:00 18-May-2012,GPE,,-35.00000000,19.20181084,,194460,51604,0,55560,0,1.571584,5.500543,
"Gansbaai GW2",117494,Mk10,16:06:00 19-May-2012,GPE,,-36.50000000,17.69219017,,250020,48859,0,55560,0,1.830781,8.238515,
"Gansbaai GW2",117494,Mk10,05:56:00 21-May-2012,GPE,,-33.00000000,21.30227089,,166680,18639,0,,,1.049554,3.148663,
"Gansbaai GW2",117494,Mk10,15:57:00 21-May-2012,GPE,,-33.50000000,20.83762932,,194460,27262,0,55560,0,1.263590,4.422564,
"Gansbaai GW2",117494,Mk10,05:36:00 22-May-2012,GPE,,-34.00000000,21.22929955,,166680,18425,0,,,1.213852,3.641557,
"Gansbaai GW2",117494,Mk10,15:49:00 22-May-2012,GPE,,-35.00000000,20.59263039,,194460,18205,0,55560,180,1.268646,4.440261,
"Gansbaai GW2",117494,Mk10,05:33:00 23-May-2012,GPE,,-34.50000000,20.44938087,,222240,18315,0,,,1.367868,5.471473,
"Gansbaai GW2",117494,Mk10,15:51:00 23-May-2012,GPE,,-34.00000000,20.59202957,,194460,67410,0,55560,180,1.302716,4.559505,
"Gansbaai GW2",117494,Mk10,05:32:00 24-May-2012,GPE,,-34.50000000,20.66157913,,138900,18315,0,55560,180,1.048985,2.622462,
"Gansbaai GW2",117494,Mk10,15:49:00 24-May-2012,GPE,,-34.00000000,20.79289055,,138900,18425,0,55560,180,1.043812,2.609529,
"Gansbaai GW2",117494,Mk10,05:40:00 25-May-2012,GPE,,-34.50000000,20.77124977,,166680,35163,0,,,1.443557,4.330672,
"Gansbaai GW2",117494,Mk10,15:58:00 25-May-2012,GPE,,-34.00000000,20.81517982,,194460,63392,0,55560,180,1.458214,5.103748,
"Gansbaai GW2",117494,Mk10,05:45:00 26-May-2012,GPE,,-34.00000000,21.01493073,,166680,18425,0,,,1.118528,3.355584,
"Gansbaai GW2",117494,Mk10,15:52:00 26-May-2012,GPE,,-34.00000000,20.94961929,,194460,18425,0,55560,0,1.228380,4.299329,
"Gansbaai GW2",117494,Mk10,05:44:00 27-May-2012,GPE,,-34.00000000,21.10844994,,250020,59050,0,55560,0,1.584295,7.129329,
"Gansbaai GW2",117494,Mk10,15:52:00 27-May-2012,GPE,,-34.00000000,20.79643059,,222240,91017,0,,,1.526926,6.107703,
"Gansbaai GW2",117494,Mk10,05:54:00 28-May-2012,GPE,,-34.50000000,20.80837059,,166680,18315,0,,,1.124937,3.374810,
"Gansbaai GW2",117494,Mk10,15:53:00 28-May-2012,GPE,,-34.50000000,20.66163063,,166680,28318,0,,,1.086363,3.259089,
