year month day hour min sec sst
2002   9 10   0 0 0  30.6   
2002   9 11   0 0 0  30.6   
2002   9 12   0 0 0  30.6   
2002   9 13   0 0 0  26.8   
2002   9 14   0 0 0  26.8   
2002   9 16   0 0 0  26.8   
2002   9 17   0 0 0  26.8 
2002   9 18   0 0 0  26.8   
2002   9 22   0 0 0  27.2   
2002   9 23   0 0 0  27.2   
2002   9 25   0 0 0  27.2
2002   9 27   0 0 0  27.2   
2002   9 29   0 0 0  27.2 
2002   9 30   0 0 0  27.2   
2002  10 1    0 0 0  27.4   
2002  10 2    0 0 0  27.2   
2002  10 3    0 0 0  27.2 
2002  10 5    0 0 0  27.2 
2002  10 6    0 0 0  27.2 
2002  10 7    0 0 0  27.2   
2002  10 14   0 0 0  27   
2002  10 15   0 0 0  27   
2002  10 16   0 0 0  27   
2002  10 17   0 0 0  27 
2002  10 18   0 0 0  27 
2002  10 19   0 0 0  27 
2002  10 19   0 0 0  27 
2002  10 21   0 0 0  27  
2002  10 22   0 0 0  27.2 
2002  10 23   0 0 0  27.2 
2002  10 26   0 0 0  27.2 
2002  10 27   0 0 0  27.2   
2002  10 29   0 0 0  27.2 
2002  10 30   0 0 0  27.2  
2002  11 1    0 0 0  26.6
2002  11 2    0 0 0  26.6 
2002  11 3    0 0 0  26.6
2002  11 4    0 0 0  26.6
2002  11 5    0 0 0  26.8  
2002  11 6    0 0 0  26.8 
2002  11 7    0 0 0  26.6
2002  11 8    0 0 0  26.6
2002  11 15   0 0 0  25.8 
2002  11 18   0 0 0  25.6
2002  11 19   0 0 0  25.6  
2002  11 20   0 0 0  25.6   
2002  11 22   0 0 0  25.6
2002  11 25   0 0 0  25.6   
2002  11 26   0 0 0  25.6   
2002  11 27   0 0 0  25.6   
2002  11 29   0 0 0  25.6
2002  12 1    0 0 0  25.6    
2002  12 2    0 0 0  25.2   
2002  12 3    0 0 0  25.2
2002  12 4    0 0 0  25.2    
2002  12 6    0 0 0  25.2   
2002  12 7    0 0 0  25       
2002  12 8    0 0 0  24.8  
2002  12 9    0 0 0  24.8  
2002  12 11   0 0 0  24.8  
2002  12 16   0 0 0  24.8  
2002  12 17   0 0 0  24.8
2002  12 18   0 0 0  25     
2002  12 19   0 0 0  24.8  
2002  12 21   0 0 0  25  
2002  12 23   0 0 0  24.8  
2002  12 24   0 0 0  24.8
2002  12 25   0 0 0  25    
2002  12 26   0 0 0  25  
2002  12 30   0 0 0  25    
2002  12 31   0 0 0  25    
2003  1  1    0 0 0  25    
2003  1  4    0 0 0  25.3    
2003  1  6    0 0 0  24.8  
2003  1  8    0 0 0  24.8  
2003  1  9    0 0 0  24.8  
2003   1 10   0 0 0  24.8   
2003   1 11   0 0 0  24.8   
2003   1 12   0 0 0  24.8 
2003   1 13   0 0 0  24.8   
2003   1 14   0 0 0  24.8 
2003   1 15   0 0 0  24.8 
2003   1 16   0 0 0  24.8 
2003   1 17   0 0 0  24.8 
2003   1 19   0 0 0  24.8 
2003   1 22   0 0 0  24.8  
2003   1 24   0 0 0  24.8   
2003   1 25   0 0 0  23.6   
2003   1 26   0 0 0  23.6   
2003   1 27   0 0 0  23.6   
2003   1 28   0 0 0  23.6 
2003   1 29   0 0 0  23.6   
2003   1 30   0 0 0  23.6 
2003  2  1    0 0 0  23.6     
2003  2  2    0 0 0  23.6   
2003  2  4    0 0 0  23.6   
2003  2  6    0 0 0  23.6 
2003   2 10   0 0 0  23.6  
2003   2 11   0 0 0  23.6
2003   2 12   0 0 0  23.4  
2003   2 13   0 0 0  23.4  
2003   2 16   0 0 0  23.2
2003   2 19   0 0 0  23.2   
2003   2 21   0 0 0  23.2 
2003   2 28   0 0 0  24.2
2003  3  1    0 0 0  24.2 
2003  3  3    0 0 0  24.2  
2003  3  5    0 0 0  24.8
2003  3  6    0 0 0  24.8 
2003  3  7    0 0 0  24.8
2003  3  8    0 0 0  24.8   
2003  3  9    0 0 0  24.8  
2003   3 12   0 0 0  24.8 
2003   3 13   0 0 0  24.8   
2003   3 18   0 0 0  25.4   
2003   3 19   0 0 0  25.4 
2003   3 21   0 0 0  25.4
2003   3 22   0 0 0  25.4 
2003   3 24   0 0 0  25.4
2003   3 25   0 0 0  25.4   
2003   3 28   0 0 0  25.4
2003   3 30   0 0 0  25.4   
2003   3 31   0 0 0  25.4 
2003  4  2    0 0 0  25.4   
2003  4  4    0 0 0  25.8 
2003  4  5    0 0 0  25.8 
2003  4  7    0 0 0  25.8   
2003  4  8    0 0 0  26   
2003  4  9    0 0 0  26   
2003   4 10   0 0 0  26  
2003   4 11   0 0 0  26  
2003   4 12   0 0 0  26  
2003   4 13   0 0 0  26   
2003   4 14   0 0 0  26   
2003   4 15   0 0 0  26   
2003   4 20   0 0 0  25.6 
2003   4 21   0 0 0  25.4 
2003   4 22   0 0 0  25.4  
2003   4 24   0 0 0  25.4
2003   4 25   0 0 0  25.4
2003   4 26   0 0 0  25.4  
2003   4 27   0 0 0  25.4  
2003   4 28   0 0 0  25.4 
2003   4 29   0 0 0  25.4  
2003   4 30   0 0 0  25.4  
2003  5  1    0 0 0  25.4 
2003  5  3    0 0 0  25.4 
2003  5  4    0 0 0  25.4 
2003  5  5    0 0 0  25.4 
2003  5  6    0 0 0  25.4 
2003  5  7    0 0 0  25.6 
2003  5  8    0 0 0  25.6   
2003  5  9    0 0 0  25.6 
2003   5 11   0 0 0  25.8  
2003   5 13   0 0 0  25.8  
2003   5 14   0 0 0  25.8  
2003   5 16   0 0 0  25.8  
2003   5 21   0 0 0  25.8 

