year month day hour min sec depth light temp
2002 9 11 15 35 53 0 69 0
2002 9 11 15 43 53 0 75 0
2002 9 11 15 49 53 0 85 0
2002 9 11 15 51 53 0 84 0
2002 9 11 15 58 53 0 93 0
2002 9 11 15 59 53 0 91 0
2002 9 11 16 7 53 0 103 0
2002 9 11 16 7 53 0 105 0
2002 9 11 16 15 53 0 115 0
2002 9 11 16 16 53 0 119 0
2002 9 11 16 23 53 0 126 0
2002 9 11 16 25 53 0 131 0
2002 9 11 16 31 53 0 135 0
2002 9 11 16 34 53 0 140 0
2002 9 11 16 39 53 0 141 0
2002 9 11 16 43 53 0 145 0
2002 9 11 16 47 53 0 144 0
2002 9 11 16 52 53 0 148 0
2002 9 11 16 55 53 0 149 0
2002 9 11 17 1 53 0 152 0
2002 9 11 17 3 53 0 151 0
2002 9 11 17 10 53 0 153 0
2002 9 11 17 19 53 0 155 0
2002 9 11 17 28 53 0 156 0
2002 9 12 3 58 53 0 156 0
2002 9 12 4 7 53 0 155 0
2002 9 12 4 16 53 0 153 0
2002 9 12 4 23 52 0 151 0
2002 9 12 4 25 53 0 152 0
2002 9 12 4 31 52 0 149 0
2002 9 12 4 34 53 0 148 0
2002 9 12 4 39 52 0 144 0
2002 9 12 4 43 53 0 145 0
2002 9 12 4 47 52 0 141 0
2002 9 12 4 52 53 0 140 0
2002 9 12 4 55 52 0 135 0
2002 9 12 5 1 53 0 131 0
2002 9 12 5 3 52 0 126 0
2002 9 12 5 10 53 0 119 0
2002 9 12 5 11 52 0 115 0
2002 9 12 5 19 52 0 103 0
2002 9 12 5 19 53 0 105 0
2002 9 12 5 27 52 0 91 0
2002 9 12 5 28 53 0 93 0
2002 9 12 5 35 52 0 84 0
2002 9 12 5 37 53 0 85 0
2002 9 12 5 43 52 0 75 0
2002 9 12 5 51 52 0 69 0
2002 9 12 15 34 53 0 70 0
2002 9 12 15 42 53 0 77 0
2002 9 12 15 50 53 0 85 0
2002 9 12 15 54 53 0 87 0
2002 9 12 15 58 53 0 92 0
2002 9 12 16 2 53 0 94 0
2002 9 12 16 6 53 0 102 0
2002 9 12 16 10 53 0 105 0
