# Source of this table is http://www.stjarnhimlen.se/comp/time.html
#day month year DTminusUT
90
4
01 01 1972 +42.23  
01 07 1972 +42.80  
01 01 1973 +43.37  
01 07 1973 +43.93  
01 01 1974 +44.49  
01 07 1974 +44.99  
01 01 1975 +45.48  
01 07 1975 +45.97  
01 01 1976 +46.46  
01 07 1976 +46.99  
01 01 1977 +47.52  
01 07 1977 +48.03  
01 01 1978 +48.53  
01 07 1978 +49.06  
01 01 1979 +49.59  
01 07 1979 +50.07  
01 01 1980 +50.54  
01 07 1980 +50.96  
01 01 1981 +51.38  
01 07 1981 +51.78  
01 01 1982 +52.17  
01 07 1982 +52.57  
01 01 1983 +52.96  
01 07 1983 +53.38  
01 01 1984 +53.79  
01 07 1984 +54.07  
01 01 1985 +54.34  
01 07 1985 +54.61  
01 01 1986 +54.87  
01 07 1986 +55.10  
01 01 1987 +55.32  
01 07 1987 +55.57  
01 01 1988 +55.82  
01 07 1988 +56.06  
01 01 1989 +56.30  
01 07 1989 +56.58  
01 01 1990 +56.86  
01 07 1990 +57.22  
01 01 1991 +57.57  
01 07 1991 +57.94  
01 01 1992 +58.31  
01 07 1992 +58.72  
01 01 1993 +59.12  
01 07 1993 +59.55  
01 01 1994 +59.98  
01 07 1994 +60.38  
01 01 1995 +60.78  
01 07 1995 +61.20  
01 01 1996 +61.63  
01 07 1996 +61.96  
01 01 1997 +62.29  
01 07 1997 +62.63  
01 01 1998 +62.97  
01 07 1998 +63.22  
01 01 1999 +63.47  
01 07 1999 +63.66  
01 01 2000 +63.82  
01 07 2000 +63.98  
01 01 2001 +64.09  
01 07 2001 +64.20  
01 01 2002 +64.30  
01 07 2002 +64.41  
01 01 2003 +64.47  
01 07 2003 +64.55  
01 01 2004 +64.57  
01 07 2004 +64.60  
01 01 2005 +64.68  
01 07 2005 +64.80  
01 01 2006 +64.85  
01 07 2006 +64.99  
01 01 2007 +65.15  
01 07 2007 +65.34  
01 01 2008 +65.45  
01 07 2008 +65.63  
01 01 2009 +65.78  
01 07 2009 +65.95  
01 01 2010 +66.07  
01 07 2010 +66.24  
01 01 2011 +66.32  
01 07 2011 +66.47  
01 01 2012 +66.80  
01 07 2012 +67.00  
01 01 2013 +67.30
01 01 2014 +67.70    
01 01 2015 +68.00  
01 01 2016 +69.00  
01 01 2017 +69.00  
01 01 2018 +70.00  
01 01 2019 +70.00  
01 01 2020 +71.00  
