"day" "month" "year" "DTminusUT"
1 1 1972 42.23
1 7 1972 42.8
1 1 1973 43.37
1 7 1973 43.93
1 1 1974 44.49
1 7 1974 44.99
1 1 1975 45.48
1 7 1975 45.97
1 1 1976 46.46
1 7 1976 46.99
1 1 1977 47.52
1 7 1977 48.03
1 1 1978 48.53
1 7 1978 49.06
1 1 1979 49.59
1 7 1979 50.07
1 1 1980 50.54
1 7 1980 50.96
1 1 1981 51.38
1 7 1981 51.78
1 1 1982 52.17
1 7 1982 52.57
1 1 1983 52.96
1 7 1983 53.38
1 1 1984 53.79
1 7 1984 54.07
1 1 1985 54.34
1 7 1985 54.61
1 1 1986 54.87
1 7 1986 55.1
1 1 1987 55.32
1 7 1987 55.57
1 1 1988 55.82
1 7 1988 56.06
1 1 1989 56.3
1 7 1989 56.58
1 1 1990 56.86
1 7 1990 57.22
1 1 1991 57.57
1 7 1991 57.94
1 1 1992 58.31
1 7 1992 58.72
1 1 1993 59.12
1 7 1993 59.55
1 1 1994 59.98
1 7 1994 60.38
1 1 1995 60.78
1 7 1995 61.2
1 1 1996 61.63
1 7 1996 61.96
1 1 1997 62.29
1 7 1997 62.63
1 1 1998 62.97
1 7 1998 63.22
1 1 1999 63.47
1 7 1999 63.66
1 1 2000 63.82
1 7 2000 63.98
1 1 2001 64.09
1 7 2001 64.2
1 1 2002 64.3
1 7 2002 64.41
1 1 2003 64.47
1 7 2003 64.55
1 1 2004 64.57
1 7 2004 64.6
1 1 2005 64.68
1 7 2005 64.8
1 1 2006 64.85
1 7 2006 64.99
1 1 2007 65.15
1 7 2007 65.34
1 1 2008 65.45
1 7 2008 65.63
1 1 2009 65.78
1 7 2009 65.95
1 1 2010 66.07
1 7 2010 66.24
1 1 2011 66.32
1 7 2011 66.5
1 1 2012 66.8
1 7 2012 67.0
1 1 2013 67.3
1 1 2014 67.7
1 1 2015 68.0
1 1 2016 69.0
1 1 2017 69.0
1 1 2018 70.0
1 1 2019 70.0
1 1 2020 71.0
